med_name
"(Bofalogn)Paracetamol Infusion"
"25%+Cevit+B6+B12+20cc"
"25%+Poly+20cc"
"3-way"
"50%+Cevit+B6+B12+20cc"
"Abhayrch inj"
"Acetylcysteine 600mg"
"Aciclovir Cream"
"Aciclovir Tab"
"Acinet 625mg"
"Aclo100mg Tab"
"Actemra 400mg"
"Actilosa (prebiotic)"
"Acyclovir (inj)"
"Adenosine 6mg"
"Adernalin inj"
"Adult 50+"
"Aerocort Inhalar"
"Afrin Nasal Spray"
"Afrixan S"
"Air  Way"
"Air-X drop"
"Air-X Tab"
"Alaska Cap"
"Alaxan Tab"
"Albandazole 400mg Tab"
"Albumin Drip"
"Aldactone"
"Aldoment"
"Alerday 120mg"
"Aleve Tab"
"Algin inj"
"Algin Tab"
"Algogen syp"
"Allopurinol 100mg"
"Alzolan 0.25mg"
"Alzolan 0.5mg"
"Amdellin"
"Amikacin Inj"
"Amino leban drip"
"amino pep syp"
"Aminoleban Power"
"Aminomin Syp"
"Aminophylline 250mg"
"Aminophylline inj"
"Aminosafe"
"Aminosteirl drip 500ml"
"Aminosteril N Hepa inj"
"Aminostri N Helpar (inj )"
"Aminovit - Forte"
"Aminowel inj"
"Amiodarone 200mg"
"Amiodrone inj"
"Amlong 10mg"
"Amlong 5mg"
"Amoxil 250mg"
"Amoxil 500mg"
"Amoxil Pld"
"Ampicillin Inj"
"Ampiclox"
"Ampiclox (Inj.)"
"Ampucare Cream"
"Aneso D"
"Angivas"
"Ankle Traction"
"Antacil Gel Syp"
"Anti Embolism Stocking    [ L ]"
"Aphaw Gel"
"Apixaban 2.5"
"Apron"
"Aqualac pd"
"Aquarest"
"Arcorose Vitamin E 1000"
"Arium inj"
"Artane"
"Artel (adult)"
"Artel (Child)"
"Artemeter Inj"
"Artesunate inj"
"Arthri-flex"
"Arthrostop"
"Articart Tab"
"Ascoril Syp"
"Ascozinc"
"Aseptanios AD"
"ASO"
"Aspilet"
"Aspilet Ec"
"ASTYMIN -3 Drip"
"Astymin Fore"
"Astyvit syp"
"Atovas 10mg"
"Atovas 20"
"Atracurium inj"
"Atropine Inj"
"ATT"
"ATT+ေဆးထိုးခ"
"Atussin Syp"
"Atussin Tab"
"Auginal Vg Tab"
"Aurotaz(Piperacillin and Tazobactam)4.5g"
"AVAM 156 Syp"
"Avam 312(Amoxicillin&Clavulanate Potassium)"
"Avam 375mg"
"Avam 625mg(Curum 625mg)"
"Avamys Inhalar"
"Avenno Baby Lotion"
"Avolac Syp 100ml"
"Axone ( inj )"
"Azeflumak Spray"
"Azimil 500mg"
"Azitar 250mg(Azithromycin 250mg)"
"Azithromycin 200mg(Zycin)"
"B Daddy"
"B Protein"
"B'ton Inj"
"B-ton tab"
"B1 Inj"
"B12 Inj"
"B2"
"B6"
"B6 Inj"
"Baby Cought syp"
"Baby Oil"
"Baby vit Syp"
"Baclofen 10mg"
"Bacpera Zone  IV"
